sample,spot_name,cluster
1,"spot362","3"
1,"spot363","0"
1,"spot364","0"
1,"spot365","4"
1,"spot366","0"
1,"spot367","0"
1,"spot368","0"
1,"spot369","0"
1,"spot370","0"
1,"spot371","0"
1,"spot372","3"
1,"spot373","0"
1,"spot374","0"
1,"spot375","4"
1,"spot376","1"
1,"spot377","0"
1,"spot378","0"
1,"spot379","0"
1,"spot380","0"
1,"spot381","1"
1,"spot382","4"
1,"spot383","0"
1,"spot384","0"
1,"spot385","0"
1,"spot386","0"
1,"spot387","0"
1,"spot388","0"
1,"spot389","0"
1,"spot390","0"
1,"spot391","4"
1,"spot392","0"
1,"spot393","0"
1,"spot394","0"
1,"spot395","3"
1,"spot396","1"
1,"spot397","0"
1,"spot398","0"
1,"spot399","0"
1,"spot400","0"
2,"spot701","0"
2,"spot702","3"
2,"spot703","0"
2,"spot704","3"
2,"spot705","0"
2,"spot706","0"
2,"spot707","4"
2,"spot708","0"
2,"spot709","0"
2,"spot710","0"
2,"spot711","0"
2,"spot712","0"
2,"spot713","0"
2,"spot714","0"
2,"spot715","3"
2,"spot716","0"
2,"spot717","3"
2,"spot718","0"
2,"spot719","0"
2,"spot720","4"
2,"spot721","0"
2,"spot722","0"
2,"spot723","0"
2,"spot724","0"
2,"spot725","0"
2,"spot726","0"
2,"spot727","0"
2,"spot728","0"
2,"spot729","0"
2,"spot730","0"
2,"spot731","0"
2,"spot732","0"
2,"spot733","0"
2,"spot734","0"
2,"spot735","0"
2,"spot736","0"
2,"spot737","4"
2,"spot738","2"
2,"spot739","2"
2,"spot740","2"
2,"spot741","1"
2,"spot742","2"
2,"spot743","2"
2,"spot744","2"
2,"spot745","1"
2,"spot746","2"
2,"spot747","2"
2,"spot748","2"
2,"spot749","2"
2,"spot750","2"
2,"spot751","2"
2,"spot752","1"
2,"spot753","2"
2,"spot754","2"
2,"spot755","2"
2,"spot756","2"
2,"spot757","2"
2,"spot758","2"
2,"spot759","2"
2,"spot760","2"
2,"spot761","2"
2,"spot762","2"
2,"spot763","2"
2,"spot764","2"
2,"spot765","2"
2,"spot766","1"
2,"spot767","2"
2,"spot768","1"
2,"spot769","2"
2,"spot770","2"
2,"spot771","2"
2,"spot772","2"
2,"spot773","2"
2,"spot774","2"
2,"spot775","1"
2,"spot776","1"
2,"spot777","1"
2,"spot778","1"
2,"spot779","2"
2,"spot780","1"
2,"spot781","2"
2,"spot782","2"
2,"spot783","2"
2,"spot784","1"
2,"spot785","2"
2,"spot786","2"
2,"spot787","2"
2,"spot788","2"
2,"spot789","1"
2,"spot790","2"
2,"spot791","2"
2,"spot792","1"
2,"spot793","1"
2,"spot794","2"
2,"spot795","2"
2,"spot796","2"
