V1,sample,spot_name,cluster
884,3,spot1384_3,1
885,3,spot1385_3,1
886,3,spot1386_3,1
887,3,spot1387_3,1
888,3,spot1388_3,1
889,3,spot1389_3,1
890,3,spot1390_3,1
891,3,spot1391_3,1
892,3,spot1392_3,1
893,3,spot1393_3,1
894,3,spot1394_3,1
895,3,spot1395_3,1
896,3,spot1396_3,1
897,3,spot1397_3,1
898,3,spot1398_3,1
899,3,spot1399_3,1
900,3,spot1400_3,1
901,4,spot1501_4,4
902,4,spot1502_4,4
903,4,spot1503_4,4
904,4,spot1504_4,4
905,4,spot1505_4,4
906,4,spot1506_4,4
907,4,spot1507_4,4
908,4,spot1508_4,4
909,4,spot1509_4,4
910,4,spot1511_4,4
911,4,spot1513_4,4
912,4,spot1514_4,4
913,4,spot1515_4,4
914,4,spot1516_4,4
915,4,spot1517_4,4
916,4,spot1518_4,4
917,4,spot1519_4,2
918,4,spot1521_4,4
919,4,spot1522_4,4
920,4,spot1523_4,4
921,4,spot1524_4,4
922,4,spot1525_4,4
923,4,spot1526_4,4
924,4,spot1527_4,4
925,4,spot1529_4,4
926,4,spot1530_4,4
927,4,spot1532_4,4
928,4,spot1535_4,4
929,4,spot1537_4,4
930,4,spot1538_4,4
931,4,spot1539_4,4
932,4,spot1540_4,4
933,4,spot1541_4,4
934,4,spot1542_4,4
935,4,spot1543_4,4
936,4,spot1544_4,4
937,4,spot1546_4,4
938,4,spot1547_4,4
939,4,spot1548_4,4
940,4,spot1549_4,4
941,4,spot1550_4,4
942,4,spot1551_4,4
943,4,spot1552_4,4
944,4,spot1553_4,4
945,4,spot1554_4,4
946,4,spot1555_4,4
947,4,spot1556_4,4
948,4,spot1557_4,4
949,4,spot1560_4,4
950,4,spot1562_4,4
951,4,spot1563_4,4
952,4,spot1564_4,4
953,4,spot1565_4,4
954,4,spot1566_4,4
955,4,spot1567_4,4
956,4,spot1568_4,4
957,4,spot1570_4,4
958,4,spot1571_4,4
959,4,spot1572_4,4
960,4,spot1573_4,4
961,4,spot1574_4,4
962,4,spot1576_4,4
963,4,spot1577_4,4
964,4,spot1579_4,4
965,4,spot1580_4,4
966,4,spot1581_4,4
967,4,spot1582_4,4
968,4,spot1583_4,4
969,4,spot1584_4,4
970,4,spot1585_4,4
971,4,spot1586_4,4
972,4,spot1587_4,4
973,4,spot1588_4,4
974,4,spot1590_4,4
975,4,spot1592_4,4
976,4,spot1594_4,4
977,4,spot1595_4,4
978,4,spot1596_4,4
979,4,spot1597_4,4
980,4,spot1598_4,4
981,4,spot1599_4,4
982,4,spot1600_4,4
983,4,spot1601_4,2
984,4,spot1602_4,2
985,4,spot1603_4,2
986,4,spot1604_4,1
987,4,spot1605_4,2
988,4,spot1606_4,2
989,4,spot1607_4,2
990,4,spot1608_4,2
991,4,spot1609_4,2
992,4,spot1610_4,2
993,4,spot1612_4,1
994,4,spot1613_4,2
995,4,spot1614_4,2
996,4,spot1616_4,2
997,4,spot1617_4,2
998,4,spot1618_4,2
999,4,spot1619_4,2
1000,4,spot1620_4,2
1001,4,spot1621_4,2
1002,4,spot1622_4,1
1003,4,spot1623_4,2
1004,4,spot1624_4,2
1005,4,spot1625_4,2
1006,4,spot1626_4,2
1007,4,spot1627_4,2
1008,4,spot1628_4,2
1009,4,spot1629_4,2
1010,4,spot1631_4,2
1011,4,spot1633_4,2
1012,4,spot1634_4,2
1013,4,spot1636_4,2
1014,4,spot1638_4,2
1015,4,spot1639_4,2
1016,4,spot1640_4,2
1017,4,spot1641_4,2
1018,4,spot1643_4,2
1019,4,spot1644_4,2
1020,4,spot1645_4,2
1021,4,spot1646_4,2
1022,4,spot1647_4,2
1023,4,spot1648_4,2
1024,4,spot1649_4,1
1025,4,spot1651_4,2
1026,4,spot1652_4,2
1027,4,spot1653_4,2
1028,4,spot1654_4,2
1029,4,spot1655_4,2
1030,4,spot1656_4,2
1031,4,spot1657_4,2
1032,4,spot1659_4,2
1033,4,spot1661_4,2
1034,4,spot1662_4,1
1035,4,spot1663_4,2
1036,4,spot1664_4,2
1037,4,spot1665_4,1
1038,4,spot1666_4,2
1039,4,spot1667_4,2
1040,4,spot1668_4,2
1041,4,spot1669_4,2
1042,4,spot1671_4,2
1043,4,spot1672_4,2
1044,4,spot1673_4,2
1045,4,spot1674_4,2
1046,4,spot1676_4,2
1047,4,spot1677_4,2
1048,4,spot1678_4,2
1049,4,spot1679_4,2
1050,4,spot1680_4,2
1051,4,spot1681_4,2
1052,4,spot1683_4,2
1053,4,spot1684_4,2
1054,4,spot1685_4,2
1055,4,spot1686_4,2
1056,4,spot1687_4,2
1057,4,spot1689_4,2
1058,4,spot1691_4,2
1059,4,spot1692_4,2
1060,4,spot1695_4,2
1061,4,spot1696_4,2
1062,4,spot1698_4,2
1063,4,spot1699_4,2
1064,4,spot1701_4,1
1065,4,spot1702_4,1
1066,4,spot1703_4,1
1067,4,spot1704_4,1
1068,4,spot1705_4,1
1069,4,spot1706_4,1
1070,4,spot1707_4,1
1071,4,spot1708_4,1
1072,4,spot1709_4,3
1073,4,spot1710_4,1
1074,4,spot1711_4,1
1075,4,spot1712_4,1
1076,4,spot1713_4,1
1077,4,spot1714_4,1
1078,4,spot1717_4,1
1079,4,spot1718_4,1
1080,4,spot1719_4,2
1081,4,spot1720_4,1
1082,4,spot1722_4,1
1083,4,spot1725_4,1
1084,4,spot1726_4,1
1085,4,spot1727_4,1
1086,4,spot1728_4,1
1087,4,spot1729_4,1
1088,4,spot1730_4,1
1089,4,spot1731_4,1
1090,4,spot1733_4,1
1091,4,spot1735_4,1
1092,4,spot1736_4,1
1093,4,spot1737_4,1
1094,4,spot1738_4,1
1095,4,spot1740_4,1
1096,4,spot1742_4,1
1097,4,spot1744_4,1
1098,4,spot1745_4,1
1099,4,spot1746_4,1
1100,4,spot1747_4,1
1101,4,spot1748_4,1
